CV_x,CM,Demanda,Demanda dia,%_Previsão,%ACC_Previsão,ABC_Previsão,CV_y,Soma de Total Unidades,PRD/DIA,%_BACKLOG,%ACC_BACKLOG,ABC_BACKLOG,ABC_AJUSTADO
163902.0,50500767.0,40884.0,1318.8387096774193,0.003063643327315767,0.3227190302705647,AA,163902.0,6435.0,3021.1267605633802,0.010609480440470673,0.15476486852322957,AA,AA
86723.0,50399289.0,40664.40540540541,1311.7550130775937,0.0030471880021410206,0.32576621827270574,AA,86723.0,88.0,41.31455399061033,0.00014508691200643657,0.9301703287372652,B,AA
135113.0,50436767.0,40506.66340505095,1306.6665614532565,0.0030353676023067732,0.3288015858750125,AA,135113.0,619.0,290.61032863849766,0.0010205545287725482,0.741532612405261,A,AA
135137.0,50436791.0,40004.62776370584,1290.4718633453497,0.0029977475518547223,0.33179933342686724,AA,135137.0,894.0,419.71830985915494,0.0014739511287926623,0.6802498792316333,A,AA
109169.0,50362041.0,39982.21621621621,1289.748910200523,0.002996068142112001,0.33479540156897925,AA,109169.0,18.0,8.450704225352114,2.9676868364952937e-05,0.9893608426911638,C,AA
139961.0,50449503.0,39938.21621621621,1288.3295553618134,0.0029927710012646797,0.3377881725702439,AA,139961.0,18.0,8.450704225352114,2.9676868364952937e-05,0.989123427744244,C,AA
95638.0,50375443.0,39405.43243243243,1271.1429816913687,0.002952846838166861,0.3407410194084108,AA,95638.0,172.0,80.75117370892019,0.00028357896437621695,0.877264716017101,A,AA
135950.0,50437548.0,39248.03937931412,1266.0657864294876,0.0029410525867004733,0.34368207199511125,AA,135950.0,652.0,306.1032863849765,0.0010749621207749617,0.7332230892630743,A,AA
140403.0,50451393.0,38320.2972972973,1236.1386224934613,0.0028715322159187286,0.34655360421103,AA,140403.0,27.0,12.67605633802817,4.45153025474294e-05,0.9808913942027877,C,AA
135780.0,50437383.0,38305.44879680683,1235.659638606672,0.002870419543248533,0.3494240237542785,AA,135780.0,1883.0,884.037558685446,0.0031045301739559094,0.5113522265070493,AA,AA
159165.0,50490658.0,37879.0,1221.9032258064517,0.002838463594447558,0.35226248734872606,AA,159165.0,5943.0,2790.1408450704225,0.00979831270516196,0.2145703531382464,AA,AA
159164.0,50490657.0,37866.0,1221.483870967742,0.0028374894391972128,0.35509997678792327,AA,159164.0,5943.0,2790.1408450704225,0.00979831270516196,0.22436866584340837,AA,AA
148294.0,50463582.0,37648.30258353625,1214.4613736624597,0.002821176279102235,0.3579211530670255,AA,148294.0,1920.0,901.4084507042254,0.00316553262559498,0.5082476963330933,AA,AA
135957.0,50437555.0,37616.48249543285,1213.4349192075113,0.0028187918401874376,0.36073994490721295,AA,135957.0,1786.0,838.4976525821596,0.0029446048277669964,0.5234455503657677,AA,AA
135732.0,50437334.0,37485.57230401281,1209.2120098068647,0.002808982082472399,0.36354892698968533,AA,135732.0,784.0,368.07511737089203,0.0012925924887846167,0.7076581158815763,A,AA
117749.0,50388373.0,37097.94594594595,1196.7079337401917,0.0027799352938660186,0.3663288622835513,AA,117749.0,4310.0,2023.474178403756,0.007105961258497064,0.3317659550263548,AA,AA
135728.0,50437330.0,36856.34088708044,1188.9142221638851,0.0027618306141272693,0.3690906928976786,AA,135728.0,2248.0,1055.399061032864,0.003706311115800789,0.4581679809672352,AA,AA
146982.0,50460408.0,36771.68160831476,1186.1832776875729,0.002755486669442653,0.37184617956712124,AA,146982.0,425.0,199.5305164319249,0.000700703836394722,0.7810226319095585,A,AA
135691.0,50437302.0,36456.57218850467,1176.0184576936992,0.0027318739390010255,0.3745780535061223,AA,135691.0,443.0,207.981220657277,0.000730380704759675,0.7759989975813356,A,AA
