codigo_do_material,codigo_de_venda,descrição_do_material,peso_liquido,peso_bruto,comprimento,largura,altura,volume_x
50090314,27309,NAT UNA RF QUARTETO DE SOMBRA 1,2.5,24.77,88,12,81,85.5
50090315,27307,NAT UNA RF QUARTETO DE SOMBRA 2,2.5,24.77,88,12,81,85.5
50090322,27372,NATUNA ESTOJO BLUSH COMPACTO,1,70.8,82,21,75,129.15
50090328,27299,NAT UNA RF BLUSH COMPACTO ROSA CLARO,4.5,20.5,82,12,64,63
50090329,27298,NAT UNA RF BLUSH COMPACTO ROSA,4.5,20.5,82,12,64,63
50090330,27297,NAT UNA RF BLUSH COMPACTO CORAL,4.5,20.5,82,12,64,63
50090332,27295,NAT UNA CORRETIVO ALTA COBERTURA MEDIO,10,18,25,25,90,56.25
50090333,27294,NAT UNA CORRETIVO ALTA COBERTURA ROSADO,10,18,25,25,90,56.25
50090334,27293,NAT UNA CORRETIVO ALTA COBERTURA CLARO,10,18,25,25,90,56.25
50090339,27289,NAT UNA LAPIS RETR LAB COR DE BOCA(TERC),0.25,7.1,13,13,138,23.32
50090341,27287,NAT UNABATOM INTENSO FPS 15 ROSA 5,3.5,28.1,73,24,24,42.048
50090343,27285,NATUNA BATOM INTENSO FPS 15 ROSA 4,3.5,28.1,73,24,24,42.048
50090358,27384,NATURE SHAMPOO 2 EM 1 TERC 2011,250,307,103.5,57.5,122.7,730.218
50090359,27383,NATURE RF SHAMP PERF E BRILHO TERC 2011,256.25,287.74,71.4,36.6,185.2,483.972
50090360,27382,NATURE RF COND PERF E BRILHO TERC 2011,250,277.11,71.4,36.6,185.2,483.972
50090461,28175,ERVA DOCE-RF SAB MAOS PE VERD 250 (TERC),250,290,71.4,39.7,191,541.4
50090505,27380,M&B GUIA 2010,27.8,95.755,56.46,56.46,56.46,180
50090638,27413,ERVA DOCE SABONETE LIQUIDO CORPO 200ML,200,241,67,51,181,618.477
50090823,27660,FACES MINI LAPIS PARA OLHOS PRATA TERC,0.8,5.3,13,13,108,18.252
50091075,27613,FACES DESOD COLONIA INSPIRADORA 65ML,55.25,224.2,36,36,182,235.872
50091147,3489,EKOS PERFUME DO BRASIL PRIPRIOCA,470,531,124,125,68,1054
50091150,27668,NAT UNA HIDRAT LABIAL FPS 15,3.2,28,24,24,73,42
50091451,14268,NATURE LENCO UMEDECIDO BANHO GATO TERC,75,104.409,142,70,45,447.3
50091537,27835,CPV-LIVRO INFANTIL ARCA DE NOE 2010,1,246,66.49,66.49,66.49,294
50091650,27827,FACES DESOD COLONIA FEM CONECTADA 65ML,55.25,224.2,36,36,182,235.872
50091695,31473,FACES HIDRATANTE ANTIACNE FPS15  50ML,51.2,70.2,48,36,120,207.36
50091751,31475,FACES LOCAO ADSTRINGENTE ANTIACNE 200ML,202,254.082,51,50,188,479.4
50091753,31477,FACES SAB ANTIACNE LIMPEZA PROFUND 130ML,131.3,163.522,55,41,170,383.35
50092195,20940,CHRONOS-CREME MTS SINAIS 45+ DIA FPSBR,30,286.63,75,75,50,281.25
50092355,28035,EKOS LEITE PENTEAR CASTANHA 100ML TERC,114,120.07,42.5,42.5,119.3,215.49
50092691,28204,ERVA DOCE DESODORANTE SPRAY 100ML HERA,87,134.2,66.5,37.5,135,336.656
50092692,28203,ERVA DOCE RF DESOD SPRAY 100ML HERA,87,110,61,23,117,164.151
50092699,28205,BIOGRAFIA DESOD COL SUL FEM 100 ML,85,285.539,90,47,120,507.6
50092751,28206,BIOGRAFIA DESOD COL SUL MASC 100 ML,85,285.539,90,47,120,507.6
50092947,19962,AQUARELA-GLOSS LABIAL COR 8,7.35,23.58,19.5,19.5,122,46.39
50094021,12964,ACTIVEPLANT REFIL SH ANTI CASPA 300 TERC,312,340.432,79.5,42.5,192.5,650.41
50094057,30676,EKOS SAB LIQ MARACUJA ESFOLIANTE 200ML,191,234,67,51,185,632.145
50094378,28730,AQUARELA SEXTETO DE SOMBRA COR 1,2.5,45.4,76,20,76,115.52
50094777,28952,CAIXA PRESENTE P - MAES 2011,1,103,450,210,5,472.5
50094778,28953,CAIXA PRESENTE G MAES 2011,1,132.5,442,5,205,453
50095003,29099,EKOS SAB BARRA REFR SORTIDO 4X100G TERC,400,424.496,117,77,52,468.468
50095004,29098,EKOS SAB BARRA CREM SORTIDO 4X100G TERC,400,424.496,117,77,52,468.468
50095005,29100,EKOS SAB BARRA ESFOL SORTIDO 4X100G TERC,400,424.496,117,77,52,468.468
50095028,29133,FACES REFIL PO COMPACTO BRONZE,5.5,20.8,75,11,82,67.65
50095029,29132,FACES REFIL PO COMPACTO MEDIO,5.5,20.8,75,11,82,67.65
50095071,29130,FACES SOMBRA TRIO MOSAICO FOLHAS,1.8,21.511,53,20,53,56.18
50095287,29314,HUMOR DESO COL HUMOR NO AR FEM 75ML,63.75,271.35,54.5,48.5,188,496.931
50095434,29357,EKOS- RF SHAMPOO MATE VERDE 300ML TERC,300,342,80.1,42,187.9,632.13
50095451,29307,NATURE COND SPRAY DESEMBARACANTE 150ML,150,196.7,65,65,129,545.03
50095452,29306,NATURE CREME PARA PENTEAR 200ML,195,241.72,67,51,190,649.23
50095492,29305,AQUARELA CORRETIVO  P/  ROSTO COR 10,5,19.23,50,20,45,45
50096028,30398,NATURA BOM BOM HUMOR PASCOA 2011 LATAM,63.8,268.22,54.5,48.5,188,496.93
50096141,29617,TODODIA-HIDRAT BANHO FRT VERMELHAS 300ML,309,327.791,61.75,61.75,144,549.08
50096278,29664,VOVO HIDRAT CREME CORPO 300G,310.5,370.788,74.5,74.5,167,926.89
50096279,29663,VOVO SAB LIQ CORPO 300ML,307.5,365,74.5,74.5,147,815.87
50096283,29660,VOVO CREME MASSAGEM MAOS E BRACOS 75G,75,101.531,48,36,150,259.2
50096351,26320,SEVE RF OL DES CORP AMEND MARCANTES 200M,182,205.249,70,30,138,289.8
50096353,18626,SEVE RF OL DES CORP MENTA/ALECRIM 200ML,182,205.371,70,30,138,289.8
50096370,30937,SINTONIA DESOD COL MASC 100ML 2011,85,309,55,53,165,481
50096628,29965,SR N CREME DE BARBEAR ESPUMANTE 80G,80,110.7,48,36,165,285.1
50096660,29963,SR N ESPUMA DE BARBEAR 200G TERC,200,256,50,50,195,487.5
50096662,29961,SR N BALM APOS BARBA 75 ML,75,110.92,67,51,130,444.2
50096665,29933,NATURE SAB BARRA BOLOLO 3UN 90G TERC,270,298.115,92,65,101,603.98
50096709,29888,FACES GLOSS MAXXI BRILHO UVA,8,15.1,25,25,81,50.63
50096712,29885,FACES GLOSS MAXXI BRILHO LICHIA,8,15.1,25,25,81,50.63
50096717,29880,FACES LENCOS DEMAQUILANTE COLOR TERC,30,46,120,81,21,204.12
50096898,29924,HUMOR 6 RF DESOD SPRAY MASC 100ML,88.25,108.705,61,23,117,164.15
50096915,30555,EKOS HIDRAT DES CORP MARACUJA  ROXO 100M,99.4,126.74,53,41,150,325.95
50096968,29930,NATURE LERO LERO LOCAO HIDRATANTE 125ML,125,154.56,53,41,170,369.41
50096982,30874,NATURE-COLONIA MOCINHAS/CRIANCAS 100ML,100,135.37,57.4,58.4,90.9,304.71
50097009,29956,EMBALAGEM PRESENTE FEM NAMORADOS 2011,1,115.888,370,95,10,351.5
50097013,30155,KAIAK AMOS SACHET CLASSICO MASC 3UN 1ML,2.55,10.15,180,90,5.5,89.1
50097032,31226,AGUAS DESOD COL NAMORAR SENSUAL FEM 150M,127.5,293.23,59.6,59.6,160.25,569.234
50097152,30430,EKOS RF OLEO TRIFASICO ANDIROBA 200ML,200,222,71.8,38.5,160.7,444.223
50097179,6675,M&B-RF SHAMPOO 200ML -2012 TERC,210,228.587,75,40,164,492
50097210,30459,M&B CONDICIONADOR 150ML 2012 TERC,150,194,65,75,116,565.5
50097213,30457,M&B SAB LIQ CAB CORPO 200ML 2012,200,259.991,83,57,142,671.802
50097215,30455,M&B TALCO EM CREME 65G 2012,65,90.341,62,38,95,223.8
50097218,10252,M&B-AGUA COL FL DE LARANJEIRA 100ML 2012,104,149.852,65,55,105,375.375
50097219,6431,M&B-OLEO HIGIENE 100ML - 2012,91,139.277,64,55,105,369.6
50097222,10403,M&B LENCOS UMEDECIDOS 50UN 2012 TERC,230.5,233.374,165,105,35,606.375
50097224,16386,M&B-GEL PERNAS PES 200G - 2012,47.27,252.016,77,50,128,492.8
50097227,16387,M&B-EMULSAO AUX ESTRIAS 200ML-2012,44.15,245.254,77,50,128,492.8
50097228,16388,MMBB OLEO VEGETAL BANHO 200ML 2012,50.7,235.056,75,65,120,585
50097891,30485,KAIAK PULSO RF DESOD SPRAYMASC 100 ML,85,109.05,61,23,117,164.15
50098213,30479,EKOS SAB CREMOSO PITANGA 100G TERC,100,102.548,65,30,104,202.8
50098257,30870,HUMOR 6 AMOS DESOD COL 3UN 1ML LATAM EXP,2.55,10.2,180,5.5,90,89.1
50098338,30410,SR N DESOD COL MASC 100ML,90,276.983,55,55,142,429.55
50098342,30407,SR N RF DESOD SPRAY MASC 100 ML,88.88,108.738,61,23,117,164.15
50098482,30544,EKOS BUCHA VEGETAL BANHO DUPLA FACE TERC,26.9,28,130,20,130,338
50098498,30860,NATURA HOMEM DESOD COL 100 ML,84,276.844,90,49,133,586.53
50098542,30680,NATURA HOMEM DESOD COL ION 100 ML,85,277.934,88.1,46.9,131,541.278
50098656,30594,NATURA HOMEM ESPUMA BARBEAR 200G (TERC),200,261.207,50,50,195,487.5
50098873,30835,NAT UNA PO COMPACT ILUMINADOR OURO1 TERC,6.5,69.5,70,24,70,117.6
